FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-09 00:00:00.000000,0.00098590,0.00667837,0.01898279,0,6,17,0,2,7,0.00028203,0.00263364,0.00859391,0.47644445,0.68412253,0.99683043
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-10 00:00:00.000000,0.00081216,0.00622836,0.01759590,0,5,16,0,2,7,0.00028909,0.00256280,0.00768649,0.47644202,0.68412841,0.99683028
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-11 00:00:00.000000,0.00079663,0.00610800,0.01856967,0,5,17,0,2,6,0.00028344,0.00249936,0.00665235,0.47643839,0.68414066,0.99682968
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-12 00:00:00.000000,0.00079984,0.00610567,0.01814047,0,5,16,0,2,5,0.00027787,0.00241645,0.00645308,0.47643257,0.68416613,0.99682720
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-13 00:00:00.000000,0.00081114,0.00623744,0.01761562,0,5,16,0,2,5,0.00027152,0.00244371,0.00623515,0.47642051,0.68421904,0.99681694
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-14 00:00:00.000000,0.00082335,0.00627734,0.01708473,0,5,15,0,2,5,0.00027378,0.00239004,0.00618278,0.47637230,0.68432884,0.99677447
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-15 00:00:00.000000,0.00076097,0.00596606,0.01686496,0,5,15,0,2,5,0.00028011,0.00234892,0.00613146,0.47600017,0.68455626,0.99659847
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-16 00:00:00.000000,0.00171232,0.00761036,0.01949443,1,6,17,0,2,5,0.00028525,0.00231286,0.00608053,0.47252736,0.68502538,0.99586948
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-17 00:00:00.000000,0.00257576,0.00889226,0.02202677,2,8,20,0,2,6,0.00065642,0.00292147,0.00662979,0.46289904,0.68632842,0.99287754
54011,0,USWestVirginiaCabell,West Virginia,Cabell,2020-08-31 13:49:49.740954,2020-03-18 00:00:00.000000,0.00363169,0.01108618,0.02296540,3,10,21,1,3,7,0.00113078,0.00348986,0.00831426,0.45707335,0.68131232,0.98119403
