FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-09 00:00:00.000000,0.00916628,0.05106717,0.11265852,1,5,13,0,2,7,0.00179704,0.02399104,0.06228080,0.43403549,0.55415770,0.78072710
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-10 00:00:00.000000,0.00832045,0.04483280,0.11986156,0,5,13,0,3,7,0.00430014,0.02794679,0.06570747,0.43403373,0.55415447,0.78072420
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-11 00:00:00.000000,0.00868615,0.04747678,0.12353425,1,5,14,0,3,7,0.00459270,0.02850623,0.06894937,0.43402928,0.55414715,0.78071823
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-12 00:00:00.000000,0.00840223,0.04684317,0.12705257,0,5,14,0,3,8,0.00476977,0.02845025,0.07179078,0.43391455,0.55413053,0.78070593
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-13 00:00:00.000000,0.00840620,0.04616503,0.13020859,0,5,15,0,3,8,0.00466387,0.02851406,0.07636948,0.43325867,0.55409254,0.78068073
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-14 00:00:00.000000,0.00857974,0.04558650,0.13323702,0,5,15,0,3,9,0.00456925,0.02811741,0.08101126,0.43273993,0.55400488,0.78062958
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-15 00:00:00.000000,0.00875078,0.04596313,0.13630955,1,5,15,0,3,9,0.00467794,0.02840200,0.08367607,0.43253509,0.55379950,0.78052768
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-16 00:00:00.000000,0.00814795,0.04774344,0.13958253,0,5,16,0,3,10,0.00470919,0.02876540,0.08948631,0.43220837,0.55330617,0.78033207
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-17 00:00:00.000000,0.00758725,0.04796795,0.14336365,0,5,16,0,3,11,0.00438495,0.02887856,0.09607298,0.42016284,0.54864143,0.77998151
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-18 00:00:00.000000,0.00724005,0.04726535,0.15031728,0,5,17,0,3,11,0.00412749,0.02889586,0.09687008,0.41053188,0.53279509,0.77942120
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-19 00:00:00.000000,0.00704294,0.04529124,0.15168177,0,5,17,0,3,11,0.00401800,0.02796462,0.09738550,0.39685767,0.52588038,0.77564278
54023,0,USWestVirginiaGrant,West Virginia,Grant,2020-08-31 13:37:25.070428,2020-03-20 00:00:00.000000,0.00684101,0.04469726,0.16556729,0,5,19,0,3,11,0.00390757,0.02732736,0.10243620,0.38875158,0.51293899,0.74719758
