FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-09 00:00:00.000000,0.00204069,0.01215495,0.03644927,1,8,26,0,2,8,0.00069662,0.00384166,0.01115420,0.51474844,0.70496498,0.94350200
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-10 00:00:00.000000,0.00227281,0.01177715,0.02925391,1,8,21,0,2,7,0.00043736,0.00314673,0.01051345,0.51473631,0.70496374,0.94350200
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-11 00:00:00.000000,0.00266518,0.01326370,0.03480372,1,9,25,0,2,7,0.00047025,0.00331647,0.01056597,0.51471303,0.70495986,0.94350198
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-12 00:00:00.000000,0.00304450,0.01464872,0.03767461,2,10,27,0,2,7,0.00050738,0.00321995,0.01073823,0.51466845,0.70494706,0.94350193
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-13 00:00:00.000000,0.00331474,0.01688119,0.04165236,2,12,30,0,2,8,0.00054738,0.00339244,0.01102262,0.51458325,0.70490327,0.94350181
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-14 00:00:00.000000,0.00353625,0.01818309,0.04774154,2,13,35,0,2,8,0.00059028,0.00353009,0.01183289,0.51442111,0.70475045,0.94350147
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-15 00:00:00.000000,0.00377905,0.01976781,0.05397137,2,14,39,0,2,9,0.00063630,0.00390583,0.01301514,0.51411530,0.70356423,0.94350033
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-16 00:00:00.000000,0.00404432,0.02096798,0.06035401,2,15,44,0,3,10,0.00068569,0.00420667,0.01383452,0.51354811,0.69559832,0.94349561
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-17 00:00:00.000000,0.00433350,0.02256847,0.06685064,3,16,49,0,3,10,0.00073875,0.00436741,0.01477237,0.51132988,0.68883803,0.95130505
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-18 00:00:00.000000,0.00464827,0.02378448,0.07335289,3,17,53,0,3,11,0.00079578,0.00462323,0.01582708,0.50207955,0.68196611,0.94334605
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-19 00:00:00.000000,0.00499055,0.02471008,0.07981848,3,18,58,0,3,12,0.00085715,0.00484338,0.01699573,0.49210874,0.66630666,0.94132373
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-20 00:00:00.000000,0.00536239,0.02612435,0.08725067,3,19,64,0,3,13,0.00092323,0.00503295,0.01827028,0.48424617,0.65762120,0.93923896
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-21 00:00:00.000000,0.00576593,0.02766949,0.09842359,4,20,72,0,3,14,0.00098131,0.00532289,0.01963511,0.47440930,0.65313961,0.94159802
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-22 00:00:00.000000,0.00620332,0.02970062,0.10658041,4,21,78,0,4,15,0.00103150,0.00571542,0.02107287,0.44315410,0.63901695,0.94160758
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-23 00:00:00.000000,0.00667674,0.03174723,0.11321086,4,23,83,0,4,16,0.00108416,0.00605785,0.02257481,0.43856202,0.63709779,0.94165138
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-24 00:00:00.000000,0.00718847,0.03387352,0.12014788,5,24,88,0,4,17,0.00113943,0.00643922,0.02412420,0.43711096,0.63553815,0.95220913
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-25 00:00:00.000000,0.00774040,0.03610154,0.12743907,5,26,93,0,5,18,0.00119745,0.00686496,0.02570128,0.43256518,0.63261944,0.96056625
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-26 00:00:00.000000,0.00833143,0.03859248,0.13510741,6,28,99,0,5,20,0.00125840,0.00736836,0.02734757,0.40785149,0.62525563,0.96226873
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-27 00:00:00.000000,0.00895795,0.04135458,0.14318823,6,30,105,0,5,21,0.00132242,0.00787741,0.02906871,0.36409666,0.61322945,0.96267622
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-28 00:00:00.000000,0.00962477,0.04407491,0.15174562,7,32,111,1,6,22,0.00138966,0.00832221,0.03087047,0.34767707,0.60842964,0.96551290
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-29 00:00:00.000000,0.01033872,0.04634309,0.16087228,7,33,118,1,6,24,0.00146050,0.00874888,0.03275941,0.33604559,0.59912478,0.98213163
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-30 00:00:00.000000,0.01110291,0.04795502,0.17068863,8,35,125,1,6,25,0.00153536,0.00920688,0.03474405,0.32742040,0.59623164,1.00799289
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-03-31 00:00:00.000000,0.01191699,0.05054556,0.18133245,8,37,133,1,7,27,0.00161416,0.00974288,0.03683565,0.32495201,0.61285797,1.02873229
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-01 00:00:00.000000,0.01277661,0.05309742,0.19292453,9,38,141,1,7,28,0.00169755,0.01024030,0.03904825,0.32488151,0.60897462,1.03445581
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-02 00:00:00.000000,0.01367397,0.05573378,0.20552819,10,40,150,1,7,30,0.00178710,0.01074627,0.04139771,0.33004203,0.60991931,1.03388811
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-03 00:00:00.000000,0.01458134,0.05854407,0.21914552,10,42,160,1,8,32,0.00188492,0.01133976,0.04389981,0.34549061,0.60889311,1.02589557
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-04 00:00:00.000000,0.01535751,0.06156031,0.23375100,11,45,171,1,8,34,0.00199134,0.01198328,0.04656849,0.36269144,0.59127233,1.00389425
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-05 00:00:00.000000,0.01617667,0.06480952,0.24935706,11,47,182,1,9,36,0.00210559,0.01267531,0.04941590,0.36166904,0.58666241,1.03863900
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-06 00:00:00.000000,0.01703236,0.06869649,0.27472998,12,50,201,1,9,38,0.00222720,0.01342517,0.05245336,0.36013990,0.58627282,1.06223895
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-07 00:00:00.000000,0.01792539,0.07308964,0.30223891,13,53,221,1,10,40,0.00235600,0.01423423,0.05569186,0.34339206,0.58655137,1.06402342
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-08 00:00:00.000000,0.01886019,0.07634950,0.33198622,13,56,243,1,11,44,0.00249197,0.01505543,0.06042665,0.33198123,0.57949736,1.06379571
54081,0,USWestVirginiaRaleigh,West Virginia,Raleigh,2020-08-08 03:59:18.185721,2020-04-09 00:00:00.000000,0.01984693,0.08020911,0.36345427,14,58,266,1,11,48,0.00263515,0.01587675,0.06654364,0.32761525,0.57563787,1.06232420
