FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-09 00:00:00.000000,0.00223812,0.00993025,0.03604708,0,2,10,0,1,5,0.00104010,0.00518457,0.01942666,0.39800605,0.53428671,0.71314762
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-10 00:00:00.000000,0.00243291,0.01091698,0.03737411,0,3,10,0,1,6,0.00122283,0.00519524,0.02120721,0.39800264,0.53427733,0.70914985
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-11 00:00:00.000000,0.00263830,0.01245946,0.03906907,0,3,11,0,1,6,0.00138079,0.00584880,0.02197432,0.39799533,0.53426089,0.70900029
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-12 00:00:00.000000,0.00285752,0.01415876,0.04095170,0,4,11,0,1,6,0.00153046,0.00648979,0.02286775,0.39797964,0.53423187,0.70878011
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-13 00:00:00.000000,0.00309263,0.01548670,0.04293494,0,4,12,0,2,6,0.00167999,0.00729045,0.02397107,0.39794602,0.53330804,0.70845361
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-14 00:00:00.000000,0.00333334,0.01620600,0.04570089,0,4,13,0,2,7,0.00179310,0.00803631,0.02517674,0.39787401,0.53322795,0.70794442
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-15 00:00:00.000000,0.00352985,0.01733158,0.04887994,1,4,14,0,2,7,0.00187616,0.00876827,0.02714689,0.39772012,0.53308923,0.70690128
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-16 00:00:00.000000,0.00666502,0.02173714,0.05545551,1,6,15,0,2,8,0.00196343,0.00951842,0.02911235,0.39626593,0.53060261,0.70247190
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-17 00:00:00.000000,0.00972643,0.02531735,0.06197106,2,7,17,0,3,9,0.00286269,0.01174762,0.03252864,0.37657550,0.52535422,0.68797455
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-18 00:00:00.000000,0.01261765,0.03220611,0.07147710,3,9,20,1,4,10,0.00461583,0.01421140,0.03725050,0.36212370,0.51839007,0.68150300
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-19 00:00:00.000000,0.01515809,0.03774767,0.08317438,4,10,23,1,4,12,0.00586981,0.01694253,0.04183077,0.34493240,0.49767773,0.66300820
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-20 00:00:00.000000,0.01771672,0.04281881,0.09537358,5,12,27,2,5,14,0.00727892,0.02072371,0.04948691,0.33112624,0.48492034,0.66145630
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-21 00:00:00.000000,0.02046632,0.04982301,0.10636090,5,14,30,2,6,17,0.00882190,0.02389298,0.05932862,0.32127603,0.46261688,0.64841040
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-22 00:00:00.000000,0.02339394,0.05652434,0.11688423,6,16,33,3,7,19,0.01054414,0.02753938,0.06704747,0.31121502,0.44194085,0.62096073
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-23 00:00:00.000000,0.03154182,0.06195647,0.12905057,9,17,37,3,9,21,0.01245036,0.03175056,0.07396695,0.29833365,0.41746256,0.58025921
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-24 00:00:00.000000,0.03504961,0.07079771,0.14208526,10,20,40,4,10,23,0.01569379,0.03585733,0.08197612,0.28320957,0.40494481,0.57352149
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-25 00:00:00.000000,0.03856380,0.07963507,0.15510000,11,22,44,5,11,25,0.01830361,0.04035184,0.09052437,0.28168089,0.39682610,0.56861804
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-26 00:00:00.000000,0.04215074,0.08841203,0.16757510,12,25,48,5,13,28,0.02086606,0.04576547,0.09813603,0.28101550,0.38742547,0.55633906
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-27 00:00:00.000000,0.04586295,0.09733185,0.17932357,13,27,51,6,14,30,0.02307196,0.05045011,0.10515209,0.25846829,0.38251667,0.50719726
54083,0,USWestVirginiaRandolph,West Virginia,Randolph,2020-10-11 01:58:23.733078,2020-03-28 00:00:00.000000,0.04973231,0.10524546,0.19976063,14,30,57,7,15,32,0.02519167,0.05515928,0.11242804,0.25577062,0.37105598,0.49597782
