FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-09 00:00:00.000000,0.01235296,0.06031304,0.13572752,1,8,18,0,1,4,0.00150894,0.00836838,0.03549535,0.51859510,0.72585836,0.99221016
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-10 00:00:00.000000,0.01052246,0.03919420,0.09392138,1,5,12,0,1,4,0.00190549,0.00894885,0.03083084,0.51859442,0.72583183,0.99219538
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-11 00:00:00.000000,0.01012165,0.03654894,0.09217262,1,5,12,0,1,3,0.00169118,0.00754801,0.02747475,0.51859243,0.72579720,0.99215553
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-12 00:00:00.000000,0.00971980,0.03414528,0.08630011,1,4,11,0,0,3,0.00153310,0.00663469,0.02543581,0.51858656,0.72572216,0.99204803
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-13 00:00:00.000000,0.00938375,0.03138883,0.08029831,1,4,10,0,0,3,0.00138838,0.00595104,0.02336466,0.51856940,0.72549761,0.99175876
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-14 00:00:00.000000,0.00776299,0.02943099,0.07590520,1,4,10,0,0,2,0.00125799,0.00559066,0.02174809,0.51851972,0.72484370,0.99098632
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-15 00:00:00.000000,0.00698205,0.02776799,0.07393189,0,3,10,0,0,2,0.00114013,0.00526781,0.02028103,0.51838026,0.72363253,0.98896684
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-16 00:00:00.000000,0.01238836,0.03419926,0.08392306,1,4,11,0,0,2,0.00103346,0.00492636,0.01892235,0.51802009,0.72293410,0.98396776
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-17 00:00:00.000000,0.01868545,0.04317033,0.09391134,2,5,12,0,0,2,0.00242326,0.00704612,0.02101039,0.51740163,0.72288404,0.97310006
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-18 00:00:00.000000,0.02397187,0.05702477,0.11511199,3,7,15,0,1,3,0.00319259,0.00912893,0.02232792,0.51737638,0.71760061,0.95488881
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-19 00:00:00.000000,0.02928712,0.06240921,0.12838578,4,8,17,0,1,3,0.00407896,0.01086900,0.02595052,0.51707014,0.71695753,0.95780676
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-20 00:00:00.000000,0.03308924,0.06738860,0.14004653,4,9,19,0,1,3,0.00487387,0.01250106,0.02809379,0.49951250,0.71467570,0.97058918
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-21 00:00:00.000000,0.03437274,0.07598839,0.15553929,4,10,21,0,1,4,0.00555654,0.01375907,0.03021065,0.47678505,0.70860068,0.97073058
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-22 00:00:00.000000,0.03497884,0.08132418,0.17113237,4,11,23,0,2,4,0.00612519,0.01511226,0.03202234,0.47347819,0.70910781,0.96999047
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-23 00:00:00.000000,0.04612334,0.09039894,0.17846815,6,12,24,0,2,4,0.00660114,0.01624164,0.03458062,0.46936941,0.70158996,0.95602469
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-24 00:00:00.000000,0.05724444,0.10610993,0.19322105,7,14,26,1,2,5,0.00902413,0.01818099,0.03750511,0.45966683,0.68808845,0.95420863
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-25 00:00:00.000000,0.06167169,0.11536159,0.20400544,8,15,27,1,2,5,0.01018296,0.02068450,0.03851676,0.44989438,0.68575494,0.96382581
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-26 00:00:00.000000,0.06376736,0.12605693,0.21235357,8,17,29,1,2,5,0.01065054,0.02188678,0.04223457,0.45044730,0.68304945,0.96183398
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-27 00:00:00.000000,0.06630270,0.13515003,0.23182164,9,18,31,1,3,6,0.01064975,0.02321473,0.04582870,0.45096731,0.67297114,0.97069233
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-28 00:00:00.000000,0.06993880,0.14216121,0.25013241,9,19,34,1,3,7,0.01064316,0.02524780,0.05186152,0.43499162,0.65866907,1.00238253
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-29 00:00:00.000000,0.07339514,0.15087089,0.26268901,10,20,35,1,3,7,0.01063516,0.02690931,0.05567325,0.39668185,0.65409806,1.01397635
54087,0,USWestVirginiaRoane,West Virginia,Roane,2020-10-07 17:43:05.296516,2020-03-30 00:00:00.000000,0.06467667,0.13899889,0.25325361,8,19,34,1,3,8,0.01062712,0.02748532,0.05876339,0.39034937,0.64648958,1.00490208
