FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-09 00:00:00.000000,0.00485839,0.02998809,0.08315818,0,6,16,0,2,7,0.00107556,0.00998406,0.03880251,0.43270634,0.60160436,0.84104323
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-10 00:00:00.000000,0.00326680,0.02344654,0.06864882,0,4,13,0,2,7,0.00129409,0.00996567,0.03520156,0.43270638,0.60142664,0.84101799
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-11 00:00:00.000000,0.00301108,0.02237076,0.05957262,0,4,12,0,1,6,0.00097997,0.00911909,0.03331595,0.43270645,0.60113973,0.84097971
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-12 00:00:00.000000,0.00267015,0.02118866,0.05532884,0,4,11,0,1,6,0.00091533,0.00856417,0.03112882,0.43270659,0.60067795,0.84092196
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-13 00:00:00.000000,0.00233625,0.02024211,0.05120485,0,4,10,0,1,5,0.00082769,0.00826612,0.02873366,0.43270681,0.60023910,0.84083552
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-14 00:00:00.000000,0.00203544,0.01915908,0.04701311,0,3,9,0,1,5,0.00073780,0.00742828,0.02634210,0.43270681,0.60023338,0.84070745
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-15 00:00:00.000000,0.00177095,0.01770643,0.04311642,0,3,8,0,1,4,0.00065304,0.00660167,0.02403641,0.43270319,0.60021483,0.84051919
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-16 00:00:00.000000,0.00470733,0.02031525,0.05109973,0,4,10,0,1,4,0.00057627,0.00587104,0.02351448,0.43266489,0.59897186,0.84023918
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-17 00:00:00.000000,0.00705935,0.02280690,0.05291944,1,4,10,0,1,5,0.00178919,0.00828384,0.02886648,0.42797097,0.59643072,0.83390961
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-18 00:00:00.000000,0.00942032,0.02775547,0.05874577,1,5,11,0,2,6,0.00278655,0.00999177,0.03014929,0.42233068,0.59427564,0.81641774
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-19 00:00:00.000000,0.01126739,0.03093204,0.06484255,2,6,13,0,2,6,0.00335825,0.01100285,0.03158014,0.40925425,0.59068056,0.79529333
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-20 00:00:00.000000,0.01281738,0.03392794,0.07076508,2,6,14,0,2,6,0.00366977,0.01255204,0.03442204,0.40382202,0.58254748,0.77305497
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-21 00:00:00.000000,0.01406162,0.03581031,0.07533089,2,7,15,0,2,7,0.00394359,0.01384819,0.03788843,0.39815047,0.56774987,0.75247372
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-22 00:00:00.000000,0.01502182,0.03844004,0.08035831,3,7,16,0,3,8,0.00431760,0.01491386,0.04056772,0.37515306,0.55003979,0.71954867
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-23 00:00:00.000000,0.01712435,0.04172536,0.09069027,3,8,18,0,3,8,0.00468158,0.01536320,0.04335434,0.35811363,0.53259435,0.69603824
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-24 00:00:00.000000,0.02062885,0.04412423,0.10039917,4,8,20,1,3,8,0.00625303,0.01669838,0.04429456,0.35303263,0.52312312,0.68879774
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-25 00:00:00.000000,0.02137178,0.04825976,0.11051295,4,9,22,1,3,8,0.00645261,0.01850738,0.04438439,0.34609964,0.51513866,0.68772397
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-26 00:00:00.000000,0.02062953,0.04985741,0.11507252,4,10,23,1,3,9,0.00637531,0.01896285,0.04742815,0.33572706,0.50498946,0.67885309
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-27 00:00:00.000000,0.01919150,0.05129493,0.11261140,3,10,22,1,3,10,0.00628667,0.01927244,0.05032035,0.33242223,0.49035014,0.67352039
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-28 00:00:00.000000,0.01782485,0.05315174,0.11160870,3,10,22,1,3,10,0.00619412,0.01966721,0.05197184,0.32123536,0.48647647,0.66854721
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-29 00:00:00.000000,0.01653007,0.05382623,0.10815337,3,10,21,1,4,10,0.00610654,0.02002161,0.05397258,0.30712043,0.47388660,0.65434723
55001,0,USWisconsinAdams,Wisconsin,Adams,2020-09-16 21:09:33.578731,2020-03-30 00:00:00.000000,0.02051306,0.05408596,0.10606537,4,10,21,1,4,10,0.00602685,0.02009690,0.05299073,0.30571694,0.46696308,0.64316695
