FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-09 00:00:00.000000,0.00534665,0.01215991,0.02553944,29,66,139,10,33,91,0.00183289,0.00604534,0.01667499,0.63443882,0.78156066,0.97343398
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-10 00:00:00.000000,0.00636312,0.01344104,0.02705445,34,73,147,19,42,81,0.00362232,0.00774324,0.01495477,0.63443881,0.78155964,0.97343175
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-11 00:00:00.000000,0.00827940,0.01551113,0.02887353,45,84,157,24,47,92,0.00441268,0.00864878,0.01700553,0.63443878,0.78155728,0.97342551
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-12 00:00:00.000000,0.00942359,0.01768417,0.03220289,51,96,176,28,54,103,0.00523573,0.01005476,0.01884404,0.63443870,0.78135879,0.97340762
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-13 00:00:00.000000,0.01093393,0.02023998,0.03534332,59,110,193,33,63,117,0.00614278,0.01161298,0.02151411,0.63443851,0.78054573,0.97335456
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-14 00:00:00.000000,0.01271694,0.02297613,0.03880301,69,125,212,39,72,133,0.00714149,0.01325037,0.02450239,0.63443797,0.77939702,0.97318832
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-15 00:00:00.000000,0.01461923,0.02592150,0.04377151,79,141,239,45,81,152,0.00825754,0.01496885,0.02787293,0.63443648,0.77785113,0.97262754
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-16 00:00:00.000000,0.01682035,0.02875342,0.04989101,91,157,272,51,93,167,0.00951129,0.01706851,0.03055757,0.63443220,0.77200076,0.97056578
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-17 00:00:00.000000,0.01866844,0.03153877,0.05483207,102,172,299,61,102,184,0.01130315,0.01866344,0.03372348,0.63441994,0.76779369,0.96751502
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-18 00:00:00.000000,0.02066451,0.03556732,0.06217303,112,194,339,68,111,204,0.01254812,0.02043991,0.03732549,0.63390003,0.76567147,0.94424370
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-19 00:00:00.000000,0.02289527,0.03912969,0.06957553,125,213,380,75,126,229,0.01389538,0.02307880,0.04205624,0.58676791,0.75117344,0.94414494
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-20 00:00:00.000000,0.02559307,0.04261174,0.07727326,139,232,422,84,140,257,0.01539186,0.02564049,0.04705929,0.54791163,0.73423956,0.94384092
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-21 00:00:00.000000,0.02874822,0.04693154,0.08666751,157,256,473,93,152,288,0.01701983,0.02786109,0.05272789,0.53945394,0.71873609,0.92727409
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-22 00:00:00.000000,0.03082294,0.04970029,0.09311538,168,271,509,102,165,319,0.01877595,0.03019608,0.05846139,0.53804242,0.71346612,0.89760814
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-23 00:00:00.000000,0.03550451,0.05364697,0.09939145,194,293,543,112,178,349,0.02064262,0.03265310,0.06392922,0.50162455,0.68249160,0.89378658
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-24 00:00:00.000000,0.03819157,0.05708328,0.10563929,208,312,577,124,192,372,0.02276590,0.03525370,0.06805264,0.49212181,0.64686902,0.81638867
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-25 00:00:00.000000,0.04048737,0.06153298,0.11326675,221,336,619,132,205,402,0.02415750,0.03767921,0.07364555,0.48822080,0.62216058,0.78465628
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-26 00:00:00.000000,0.04196179,0.06421735,0.11971008,229,351,654,138,215,430,0.02538803,0.03941687,0.07877859,0.46154186,0.59883258,0.73979816
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-27 00:00:00.000000,0.04255136,0.06739850,0.12546048,232,368,685,136,225,452,0.02501559,0.04124475,0.08277531,0.41541658,0.56491496,0.71300672
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-28 00:00:00.000000,0.04346205,0.06894780,0.13364355,237,376,730,143,237,463,0.02629149,0.04340321,0.08479888,0.39328421,0.53513363,0.68207564
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-29 00:00:00.000000,0.04329845,0.06941457,0.14179334,236,379,775,147,241,465,0.02702063,0.04412855,0.08511379,0.38144720,0.50752141,0.65339460
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-30 00:00:00.000000,0.04207568,0.06958597,0.14444344,230,380,789,145,241,487,0.02662528,0.04422560,0.08909462,0.35429869,0.49429226,0.63132274
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-03-31 00:00:00.000000,0.04044996,0.06945922,0.14131797,221,379,772,137,245,507,0.02507174,0.04486757,0.09285640,0.34003554,0.48016520,0.59491765
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-04-01 00:00:00.000000,0.03982097,0.07058180,0.13788530,217,385,753,130,248,503,0.02395527,0.04540829,0.09210386,0.33388824,0.46668551,0.55752931
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-04-02 00:00:00.000000,0.03817443,0.06984620,0.14157275,208,381,773,129,244,504,0.02370358,0.04481006,0.09231786,0.32013906,0.44361722,0.53454900
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-04-03 00:00:00.000000,0.03662663,0.06757356,0.14304972,200,369,782,126,237,518,0.02315278,0.04348331,0.09475698,0.31694453,0.42457261,0.52215257
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-04-04 00:00:00.000000,0.03519920,0.06482788,0.13994973,192,354,765,121,231,519,0.02221852,0.04230775,0.09500069,0.30842499,0.39604983,0.50569468
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-04-05 00:00:00.000000,0.03392527,0.06141414,0.13369481,185,335,730,113,219,500,0.02072630,0.04008422,0.09149240,0.30240360,0.38056296,0.49781022
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-04-06 00:00:00.000000,0.03084756,0.05886036,0.12723196,168,321,695,103,208,471,0.01890133,0.03812279,0.08628424,0.29780146,0.36929314,0.49051261
55025,0,USWisconsinDane,Wisconsin,Dane,2020-10-07 17:51:12.981462,2020-04-07 00:00:00.000000,0.02899759,0.05584496,0.12062313,158,305,659,95,198,448,0.01754055,0.03633592,0.08210791,0.29089801,0.36009269,0.48274912
