FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-09 00:00:00.000000,0.00771048,0.02451853,0.06350275,3,11,28,0,1,8,0.00024120,0.00401067,0.01804076,0.49717150,0.69152202,0.87479324
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-10 00:00:00.000000,0.00818188,0.02064286,0.05240737,3,9,23,0,1,6,0.00040947,0.00396623,0.01374139,0.49717151,0.69152193,0.87479780
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-11 00:00:00.000000,0.01092846,0.02455083,0.05589044,4,11,25,0,1,5,0.00047431,0.00371501,0.01264156,0.49717154,0.69152165,0.87481089
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-12 00:00:00.000000,0.01237962,0.02535691,0.06216905,5,11,28,0,1,5,0.00058838,0.00375684,0.01207014,0.49717175,0.69152077,0.87484864
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-13 00:00:00.000000,0.01433204,0.02946535,0.06837183,6,13,31,0,1,5,0.00065990,0.00345769,0.01198887,0.49717311,0.69151801,0.87495745
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-14 00:00:00.000000,0.01584176,0.03152877,0.07453032,7,14,33,0,1,5,0.00080686,0.00398116,0.01235748,0.49718186,0.69150922,0.87527059
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-15 00:00:00.000000,0.01845086,0.03446417,0.08067271,8,15,36,0,1,6,0.00082547,0.00341408,0.01331323,0.49723805,0.69181424,0.87616546
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-16 00:00:00.000000,0.01725136,0.03640800,0.08664722,7,16,39,0,1,6,0.00109133,0.00427705,0.01433634,0.49759761,0.69825787,0.87866748
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-17 00:00:00.000000,0.02285992,0.03848206,0.09311840,10,17,42,0,1,6,0.00083542,0.00392978,0.01467369,0.49984705,0.69108610,0.88524494
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-18 00:00:00.000000,0.01750279,0.04151325,0.09908074,7,18,44,0,2,6,0.00141355,0.00458672,0.01494015,0.50576807,0.68524413,0.90003882
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-19 00:00:00.000000,0.02420198,0.04483068,0.10500399,10,20,47,0,2,6,0.00084172,0.00456692,0.01535928,0.48529180,0.68209324,0.93797661
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-20 00:00:00.000000,0.01768580,0.04790656,0.11134726,8,21,50,0,2,7,0.00177510,0.00520094,0.01642365,0.45446071,0.67426020,0.96044168
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-21 00:00:00.000000,0.02452622,0.05082783,0.11794033,11,23,53,0,2,7,0.00085297,0.00509725,0.01757169,0.44084192,0.66959504,0.98486579
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-22 00:00:00.000000,0.01833175,0.05371312,0.12541590,8,24,56,0,2,8,0.00201469,0.00569555,0.01873996,0.44771421,0.65722176,1.07882651
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-23 00:00:00.000000,0.02527516,0.05674740,0.13331384,11,25,60,0,2,9,0.00088510,0.00568768,0.01993806,0.41949268,0.66157405,1.14910038
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-24 00:00:00.000000,0.01935631,0.05763952,0.14184196,8,26,64,1,2,9,0.00231782,0.00646039,0.02118068,0.38223196,0.64975413,1.19500327
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-25 00:00:00.000000,0.02669211,0.06046973,0.15047396,12,27,68,0,2,10,0.00092077,0.00628694,0.02247366,0.36269423,0.65392041,1.21347541
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-26 00:00:00.000000,0.02040630,0.06189783,0.16074371,9,28,72,1,3,10,0.00270281,0.00734925,0.02382350,0.35540723,0.62945591,1.22040187
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-27 00:00:00.000000,0.02774485,0.06532684,0.17193477,12,29,78,0,3,11,0.00095971,0.00697246,0.02523282,0.35113301,0.62845876,1.22700786
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-28 00:00:00.000000,0.02133445,0.06884070,0.18337877,9,31,83,1,3,12,0.00298059,0.00831022,0.02669580,0.34584579,0.62899042,1.23775671
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-29 00:00:00.000000,0.02917936,0.07243334,0.19479711,13,32,88,0,3,12,0.00099419,0.00783728,0.02821706,0.34014948,0.62757244,1.26060263
55033,0,USWisconsinDunn,Wisconsin,Dunn,2020-07-30 18:05:39.872325,2020-03-30 00:00:00.000000,0.02245379,0.07525384,0.20561330,10,34,93,1,4,13,0.00314071,0.00935413,0.02979058,0.33597997,0.63589383,1.29713532
