FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-09 00:00:00.000000,0.00492406,0.05753124,0.15021296,0,5,13,0,2,6,0.00228306,0.02516458,0.07401161,0.46223988,0.63151769,0.84919551
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-10 00:00:00.000000,0.00507141,0.04912367,0.13910403,0,4,12,0,2,6,0.00277094,0.02671772,0.06944819,0.46223408,0.63151704,0.84917952
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-11 00:00:00.000000,0.00549455,0.04738447,0.12796540,0,4,11,0,2,5,0.00282344,0.02408655,0.06362936,0.46221569,0.63151568,0.84914706
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-12 00:00:00.000000,0.00567685,0.04357793,0.10962717,0,3,9,0,2,5,0.00298455,0.02293064,0.05839942,0.46215738,0.63151290,0.84908118
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-13 00:00:00.000000,0.00588231,0.04264631,0.09640791,0,3,8,0,1,4,0.00306317,0.02195644,0.05293861,0.46197311,0.63150721,0.84894752
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-14 00:00:00.000000,0.00603592,0.03954639,0.09091594,0,3,8,0,1,4,0.00315377,0.02043117,0.04892791,0.46139628,0.63078881,0.84867668
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-15 00:00:00.000000,0.00618716,0.03706976,0.08619522,0,3,7,0,1,4,0.00322771,0.01983662,0.04648520,0.45964439,0.62981510,0.84812916
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-16 00:00:00.000000,0.00632702,0.03579704,0.08555472,0,3,7,0,1,4,0.00330231,0.01826060,0.04504250,0.45431185,0.63002027,0.84702754
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-17 00:00:00.000000,0.00646563,0.03355872,0.08549010,0,3,7,0,1,4,0.00337381,0.01752948,0.04581753,0.44302873,0.62869914,0.85926352
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-18 00:00:00.000000,0.00660241,0.03354057,0.07819343,0,3,7,0,1,3,0.00344730,0.01715933,0.04174803,0.42798321,0.62663732,0.88529416
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-19 00:00:00.000000,0.00565372,0.03066361,0.08214677,0,2,7,0,1,3,0.00282212,0.01584285,0.04038889,0.41505602,0.61884691,0.87493294
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-20 00:00:00.000000,0.00451310,0.02816856,0.07724457,0,2,6,0,1,3,0.00225881,0.01455619,0.04086382,0.40883866,0.60761235,0.84579625
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-21 00:00:00.000000,0.00360038,0.02590066,0.07212945,0,2,6,0,1,3,0.00220433,0.01357336,0.03871108,0.40516515,0.60419242,0.83090816
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-22 00:00:00.000000,0.00363526,0.02438865,0.06700838,0,2,6,0,1,3,0.00226741,0.01233340,0.03848788,0.38928775,0.59443302,0.83099345
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-23 00:00:00.000000,0.00370702,0.02257398,0.06337977,0,2,5,0,1,3,0.00232030,0.01186125,0.03687372,0.37765594,0.58740570,0.85352219
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-24 00:00:00.000000,0.00374653,0.02115467,0.06344201,0,1,5,0,1,3,0.00196737,0.01133515,0.03775439,0.37176473,0.57842699,0.86353157
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-25 00:00:00.000000,0.00318540,0.01985118,0.06349270,0,1,5,0,0,3,0.00160502,0.01065907,0.03709137,0.36889580,0.57282193,0.86508644
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-26 00:00:00.000000,0.00272368,0.01855654,0.06321949,0,1,5,0,0,3,0.00144928,0.00983507,0.03725418,0.36692526,0.57270457,0.86566509
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-27 00:00:00.000000,0.00230194,0.01684886,0.06218989,0,1,5,0,0,3,0.00129070,0.00910683,0.03736858,0.35537239,0.56927297,0.86338915
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-28 00:00:00.000000,0.00195564,0.01555046,0.06034101,0,1,5,0,0,3,0.00109619,0.00864074,0.03684065,0.34111329,0.55033135,0.84744235
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-29 00:00:00.000000,0.00166308,0.01477646,0.05920858,0,1,5,0,0,3,0.00093205,0.00797206,0.03639916,0.33112477,0.54879907,0.81222158
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-30 00:00:00.000000,0.00141555,0.01409616,0.05904337,0,1,5,0,0,3,0.00079310,0.00728356,0.03617765,0.32524675,0.54313710,0.81249297
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-03-31 00:00:00.000000,0.00120612,0.01310143,0.05918172,0,1,5,0,0,3,0.00067539,0.00675699,0.03621221,0.32189698,0.54250957,0.81235391
55041,0,USWisconsinForest,Wisconsin,Forest,2020-09-09 03:15:15.558687,2020-04-01 00:00:00.000000,0.00102928,0.01189249,0.05951125,0,1,5,0,0,3,0.00057579,0.00637177,0.03542688,0.31920172,0.53231639,0.81168491
