FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-09 00:00:00.000000,0.00795923,0.05484262,0.13548731,1,9,23,0,2,8,0.00155699,0.01246423,0.04766745,0.51994950,0.73538475,1.07929996
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-10 00:00:00.000000,0.00523561,0.03318201,0.10625077,0,5,18,0,2,5,0.00188139,0.01285053,0.03283063,0.51994914,0.73544687,1.07929996
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-11 00:00:00.000000,0.00347134,0.02884273,0.08498264,0,4,14,0,1,5,0.00099563,0.00921277,0.03030702,0.51994831,0.73557909,1.07929996
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-12 00:00:00.000000,0.00247714,0.02288954,0.06971505,0,3,12,0,1,3,0.00069577,0.00764594,0.02067182,0.51994631,0.73585855,1.07929995
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-13 00:00:00.000000,0.00204850,0.01849086,0.05789270,0,3,9,0,0,2,0.00052479,0.00568739,0.01702639,0.51994145,0.73644060,1.07929995
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-14 00:00:00.000000,0.00136116,0.01429243,0.04773589,0,2,8,0,0,2,0.00043271,0.00450842,0.01403086,0.51992956,0.73698611,1.07929995
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-15 00:00:00.000000,0.00087730,0.01100967,0.03943188,0,1,6,0,0,1,0.00028039,0.00342285,0.01155737,0.51990036,0.73668927,1.07929994
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-16 00:00:00.000000,0.00452589,0.01426173,0.03621585,0,2,6,0,0,1,0.00018172,0.00262358,0.00956742,0.51982858,0.73565127,1.07929984
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-17 00:00:00.000000,0.00763057,0.01856254,0.03761704,1,3,6,0,1,2,0.00323377,0.00671006,0.01381981,0.51965257,0.73207740,1.07929874
55103,0,USWisconsinRichland,Wisconsin,Richland,2020-08-21 07:39:19.906762,2020-03-18 00:00:00.000000,0.01169183,0.02540340,0.04894232,2,4,8,0,1,2,0.00363496,0.00750682,0.01527282,0.50935253,0.72572120,1.07928669
