FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-09 00:00:00.000000,0.01208920,0.04874324,0.10219243,1,6,14,0,2,6,0.00458008,0.01875525,0.04524231,0.45380636,0.63768560,0.85512117
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-10 00:00:00.000000,0.00926288,0.03988179,0.08868642,1,5,12,0,2,6,0.00494262,0.01902594,0.04560057,0.45380631,0.63763885,0.85510727
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-11 00:00:00.000000,0.01007513,0.03679884,0.08175234,1,5,11,0,2,5,0.00459186,0.01741812,0.04184487,0.45380613,0.63752278,0.85507545
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-12 00:00:00.000000,0.00940011,0.03446710,0.07844894,1,4,11,0,2,5,0.00430511,0.01646866,0.03972386,0.45380552,0.63723511,0.85500262
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-13 00:00:00.000000,0.00873234,0.03234838,0.07128715,1,4,10,0,2,5,0.00404071,0.01480537,0.03573525,0.45380345,0.63652529,0.85483604
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-14 00:00:00.000000,0.00736780,0.02949443,0.06704181,1,4,9,0,1,4,0.00378065,0.01292366,0.03341775,0.45379637,0.63523651,0.85445580
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-15 00:00:00.000000,0.00623994,0.02608142,0.06482494,0,3,9,0,1,4,0.00319371,0.01160735,0.03175956,0.45377209,0.63521829,0.85359169
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-16 00:00:00.000000,0.01288427,0.03446730,0.07089295,1,4,10,0,1,4,0.00270369,0.01041688,0.02961016,0.45368892,0.62772519,0.85164761
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-17 00:00:00.000000,0.01733551,0.04001903,0.08176496,2,5,11,0,2,5,0.00639618,0.01720211,0.03591378,0.45297214,0.61965845,0.84737132
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-18 00:00:00.000000,0.02281089,0.04975055,0.08954245,3,7,12,1,3,5,0.00929970,0.02125295,0.04038149,0.43289969,0.61626943,0.83835639
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-19 00:00:00.000000,0.02757835,0.05645105,0.10728471,3,8,15,1,3,7,0.01128574,0.02407639,0.05158637,0.42375643,0.60338924,0.83001870
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-20 00:00:00.000000,0.03158144,0.06334119,0.12300385,4,8,17,1,3,8,0.01296275,0.02686482,0.05863303,0.41977575,0.59459740,0.81046102
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-21 00:00:00.000000,0.03267705,0.06516667,0.14033687,4,9,19,2,4,8,0.01453501,0.02900693,0.06257305,0.40693086,0.56550004,0.78395375
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-22 00:00:00.000000,0.03270999,0.06708020,0.15458490,4,9,21,2,4,9,0.01574149,0.02924961,0.06878415,0.39434770,0.56118674,0.76194831
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-23 00:00:00.000000,0.03811399,0.07115602,0.14710298,5,10,20,2,4,10,0.01626518,0.03062712,0.07383563,0.38218871,0.55283333,0.75298259
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-24 00:00:00.000000,0.04441734,0.07401724,0.14384736,6,10,20,3,4,10,0.02202708,0.03275143,0.07267330,0.37061822,0.53002989,0.74897667
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-25 00:00:00.000000,0.04738791,0.07724256,0.14738997,6,10,20,3,4,10,0.02298499,0.03500954,0.07507904,0.36855820,0.52576591,0.73859591
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-26 00:00:00.000000,0.04764454,0.07927440,0.15142178,6,11,21,3,5,11,0.02329468,0.03786633,0.07800572,0.36896754,0.51022489,0.73039075
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-27 00:00:00.000000,0.04188669,0.08136055,0.16211329,5,11,22,3,5,11,0.02162801,0.03878150,0.07799211,0.36155005,0.49793192,0.73641622
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-28 00:00:00.000000,0.04089255,0.08455435,0.16789648,5,11,23,2,5,10,0.01937408,0.04033420,0.07394071,0.34983352,0.49168753,0.78257939
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-29 00:00:00.000000,0.04083645,0.08788511,0.17259591,5,12,24,2,5,10,0.01740168,0.04094744,0.07173024,0.33047849,0.49283501,0.77114803
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-30 00:00:00.000000,0.05287094,0.09773457,0.17267618,7,13,24,2,5,11,0.01666587,0.04219320,0.07989452,0.32256553,0.48921793,0.75044159
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-03-31 00:00:00.000000,0.06012440,0.10912566,0.18376977,8,15,26,4,7,11,0.02889343,0.05019366,0.08377264,0.31188359,0.48772788,0.76839691
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-04-01 00:00:00.000000,0.06963335,0.12311143,0.19859688,9,17,28,4,7,12,0.03243230,0.05389118,0.08899483,0.30932000,0.48384126,0.77912774
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-04-02 00:00:00.000000,0.07139042,0.13263115,0.21549332,10,18,30,4,8,14,0.03304037,0.05924806,0.10347174,0.30861300,0.47179982,0.78276491
55107,0,USWisconsinRusk,Wisconsin,Rusk,2020-10-07 16:51:27.103213,2020-04-03 00:00:00.000000,0.07205576,0.14222360,0.23509937,10,20,33,4,8,15,0.03152479,0.06152136,0.10691323,0.30532249,0.45729089,0.78310496
