FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-09 00:00:00.000000,0.00184941,0.00888107,0.03070012,0,3,11,0,1,4,0.00076504,0.00294895,0.01159794,0.45420409,0.62146722,0.82643022
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-10 00:00:00.000000,0.00187581,0.00803842,0.03037946,0,3,11,0,1,4,0.00060971,0.00263070,0.01081449,0.45418589,0.62146227,0.82639845
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-11 00:00:00.000000,0.00191301,0.00881933,0.03104313,0,3,12,0,1,3,0.00050647,0.00261168,0.01014406,0.45414888,0.62145071,0.82634600
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-12 00:00:00.000000,0.00195994,0.00965019,0.03144039,0,3,12,0,1,3,0.00044482,0.00264826,0.00866984,0.45412862,0.62142249,0.82625649
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-13 00:00:00.000000,0.00201593,0.01045272,0.03191703,0,4,12,0,1,3,0.00041372,0.00272342,0.00859080,0.45417206,0.62138187,0.82609656
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-14 00:00:00.000000,0.00208112,0.01138912,0.03419401,0,4,13,0,1,3,0.00040516,0.00284488,0.00903522,0.45450687,0.62137175,0.82579377
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-15 00:00:00.000000,0.00219151,0.01200127,0.03704430,0,4,14,0,1,3,0.00041334,0.00290294,0.00956476,0.45665991,0.62134808,0.82518220
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-16 00:00:00.000000,0.00546004,0.01751330,0.04243430,2,6,16,0,1,3,0.00043409,0.00295950,0.01002690,0.46382199,0.62094892,0.82385234
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-17 00:00:00.000000,0.00768271,0.02307498,0.04799816,2,8,18,0,1,4,0.00067288,0.00358302,0.01103254,0.46369309,0.62014878,0.82080310
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-18 00:00:00.000000,0.00985405,0.02893660,0.05466066,3,11,21,0,1,4,0.00087626,0.00427118,0.01210539,0.44358942,0.61535918,0.81353713
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-19 00:00:00.000000,0.01187978,0.03506261,0.06684605,4,13,25,0,2,5,0.00115238,0.00527305,0.01326881,0.43441743,0.60022714,0.79789722
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-20 00:00:00.000000,0.01346175,0.04103447,0.07912021,5,15,30,0,2,5,0.00148881,0.00615021,0.01499960,0.40561740,0.57876348,0.77973461
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-21 00:00:00.000000,0.01496019,0.04688606,0.08910917,5,18,34,0,2,6,0.00187631,0.00712911,0.01727714,0.38896352,0.56567328,0.77113188
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-22 00:00:00.000000,0.01724532,0.05263088,0.09790384,6,20,38,0,3,7,0.00230775,0.00834856,0.01947759,0.38026952,0.54708818,0.77109192
56001,0,USWyomingAlbany,Wyoming,Albany,2020-09-22 05:56:59.227843,2020-03-23 00:00:00.000000,0.02225825,0.05579565,0.10318133,8,21,40,1,3,8,0.00277734,0.00960942,0.02158911,0.37878117,0.53359254,0.77081725
