FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-09 00:00:00.000000,0.01193178,0.05828673,0.19968980,1,7,26,0,1,8,0.00158942,0.01162482,0.06673450,0.48530852,0.67167908,0.92509988
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-10 00:00:00.000000,0.00732356,0.03705995,0.14519399,0,4,19,0,1,6,0.00363373,0.01512531,0.05224951,0.48530852,0.67167907,0.92509910
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-11 00:00:00.000000,0.00745071,0.03317531,0.11442982,0,4,15,0,1,5,0.00107012,0.01057486,0.03849834,0.48530852,0.67167902,0.92509734
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-12 00:00:00.000000,0.00348422,0.02738219,0.09408999,0,3,12,0,1,4,0.00190689,0.00870415,0.03568924,0.48530852,0.67167887,0.92509332
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-13 00:00:00.000000,0.00346794,0.02238014,0.08423562,0,2,11,0,0,4,0.00066383,0.00684954,0.03301544,0.48530851,0.67167839,0.92508415
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-14 00:00:00.000000,0.00191046,0.01775762,0.07456806,0,2,9,0,0,4,0.00075580,0.00546031,0.03049959,0.48530846,0.67167687,0.92506338
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-15 00:00:00.000000,0.00139595,0.01497531,0.06560348,0,1,8,0,0,3,0.00035514,0.00432179,0.02814463,0.48530814,0.67167200,0.92501755
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-16 00:00:00.000000,0.00603812,0.02112094,0.06471399,0,2,8,0,0,3,0.00030172,0.00342533,0.02594008,0.48530603,0.66756156,0.92492429
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-17 00:00:00.000000,0.00912719,0.02776754,0.07301960,1,3,9,0,1,3,0.00366014,0.00872654,0.02699090,0.48529198,0.65936656,0.92478125
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-18 00:00:00.000000,0.01249423,0.03463613,0.09463003,1,4,12,0,1,3,0.00410999,0.01020287,0.02838331,0.48519895,0.65219878,0.92484427
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-19 00:00:00.000000,0.01431866,0.04061987,0.09857633,1,5,13,0,1,4,0.00478769,0.01235015,0.03211071,0.48309190,0.64367237,0.92694549
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-20 00:00:00.000000,0.01584710,0.04571142,0.10805242,2,6,14,0,1,4,0.00515381,0.01417115,0.03523537,0.45825794,0.63879531,0.93927038
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-21 00:00:00.000000,0.01689595,0.04922391,0.11455926,2,6,15,0,2,4,0.00537712,0.01557706,0.03702053,0.45718735,0.62304704,0.95189745
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-22 00:00:00.000000,0.01763121,0.05226622,0.12015261,2,6,15,0,2,5,0.00555408,0.01661284,0.03855158,0.42857183,0.62472173,0.95513065
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-23 00:00:00.000000,0.02176865,0.05908481,0.10844760,2,7,14,0,2,5,0.00559429,0.01739589,0.03987445,0.40673799,0.61435861,0.90302643
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-24 00:00:00.000000,0.02406479,0.06192586,0.11947661,3,8,15,0,2,5,0.00727319,0.01791824,0.04199295,0.39332856,0.60187684,0.92528130
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-25 00:00:00.000000,0.02616818,0.06301047,0.12235321,3,8,16,0,2,5,0.00749633,0.01871595,0.04430151,0.37335743,0.59945695,0.95866775
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-26 00:00:00.000000,0.02699911,0.06306565,0.13286133,3,8,17,1,2,6,0.00805852,0.01970470,0.04908165,0.36999989,0.59793925,1.00957952
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-27 00:00:00.000000,0.02731296,0.06465153,0.14797166,3,8,19,1,2,7,0.00787504,0.01993592,0.05455801,0.36377169,0.59556429,1.01831502
56015,0,USWyomingGoshen,Wyoming,Goshen,2020-09-22 05:38:02.249161,2020-03-28 00:00:00.000000,0.02554695,0.06441555,0.16052795,3,8,21,1,2,7,0.00807827,0.02053364,0.05881641,0.34658147,0.57834563,0.99616220
