FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-09 00:00:00.000000,0.00329153,0.01887143,0.14243631,2,15,113,0,5,25,0.00000000,0.00699963,0.03181923,0.54016009,0.77033249,1.02975012
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-10 00:00:00.000000,0.00703651,0.03594525,0.43060595,5,28,343,1,6,26,0.00149889,0.00775676,0.03279859,0.54007966,0.77033761,1.02970162
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-11 00:00:00.000000,0.00468974,0.01854212,0.20025455,3,14,159,0,6,26,0.00000000,0.00808726,0.03311869,0.53995958,0.77034915,1.02958283
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-12 00:00:00.000000,0.00903442,0.03822217,0.48107522,7,30,384,1,7,27,0.00157787,0.00899673,0.03493518,0.53977859,0.77037513,1.02943813
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-13 00:00:00.000000,0.00558583,0.02388331,0.23561600,4,19,188,0,6,28,0.00023220,0.00858481,0.03531212,0.53949962,0.77043363,1.02931277
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-14 00:00:00.000000,0.01098568,0.04554218,0.50406957,8,36,402,1,8,28,0.00168835,0.01050097,0.03609830,0.53904846,0.77056529,1.02901166
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-15 00:00:00.000000,0.00640924,0.02771699,0.28052647,5,22,224,0,7,29,0.00039182,0.00887951,0.03752447,0.53824959,0.77086138,1.02831203
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-16 00:00:00.000000,0.01279204,0.04486959,0.52281776,10,35,417,1,9,30,0.00203337,0.01222879,0.03809522,0.53622535,0.77152586,1.02680297
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-17 00:00:00.000000,0.00728561,0.02988978,0.32975332,5,23,263,0,6,32,0.00049726,0.00868800,0.04101749,0.52259949,0.77301027,1.01949861
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-18 00:00:00.000000,0.01458396,0.04433457,0.53913077,11,35,430,1,10,31,0.00216040,0.01343552,0.03978349,0.50652689,0.77629268,1.02276253
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-19 00:00:00.000000,0.00824755,0.03197627,0.38368956,6,25,306,0,7,35,0.00056081,0.00961381,0.04414663,0.47710645,0.78338969,1.02066443
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-20 00:00:00.000000,0.01503010,0.04757832,0.55363118,12,37,442,1,11,35,0.00242976,0.01399804,0.04390894,0.50446593,0.77625786,1.01143619
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-21 00:00:00.000000,0.00940230,0.03281437,0.44080336,7,26,352,0,8,38,0.00063811,0.01023515,0.04831460,0.49946743,0.76239502,1.03193651
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-22 00:00:00.000000,0.01547037,0.05007006,0.56509688,12,39,451,2,12,39,0.00272589,0.01548228,0.04936406,0.46895434,0.74752834,1.09961259
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-23 00:00:00.000000,0.01104753,0.03526324,0.50230112,8,28,401,0,8,43,0.00071794,0.01081293,0.05503567,0.46085911,0.71886411,1.10880591
56025,0,USWyomingNatrona,Wyoming,Natrona,2020-07-17 04:11:09.981537,2020-03-24 00:00:00.000000,0.01590360,0.05222726,0.58418346,12,41,466,2,12,42,0.00305183,0.01559663,0.05364829,0.45814945,0.73022961,1.14815501
