FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-09 00:00:00.000000,0.00278868,0.03118328,0.08533573,0,9,24,0,1,11,0.00032439,0.00654134,0.03795442,0.43108537,0.72859982,1.13212388
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-10 00:00:00.000000,0.00357796,0.02650533,0.07423024,1,7,21,0,3,8,0.00180167,0.01186566,0.02867767,0.43108537,0.72859980,1.13224519
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-11 00:00:00.000000,0.00561635,0.03215700,0.06600267,1,9,19,0,3,7,0.00193918,0.01053460,0.02636791,0.43108537,0.72859978,1.13242541
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-12 00:00:00.000000,0.00660984,0.03026999,0.06058857,1,8,17,0,3,7,0.00276097,0.01208411,0.02535799,0.43108536,0.72859980,1.13269305
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-13 00:00:00.000000,0.00748357,0.02990139,0.06245121,2,8,18,0,3,7,0.00306255,0.01129815,0.02424267,0.43108533,0.72746573,1.13309044
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-14 00:00:00.000000,0.00786702,0.02953889,0.05771278,2,8,16,0,3,6,0.00317916,0.01105115,0.02355848,0.43108525,0.72524716,1.13368025
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-15 00:00:00.000000,0.00741920,0.02999191,0.05480211,2,8,15,0,3,6,0.00287296,0.01094135,0.02301874,0.43108490,0.72523827,1.13455526
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-16 00:00:00.000000,0.00691294,0.02661972,0.04902543,2,7,14,0,3,6,0.00310494,0.01076915,0.02263356,0.43108278,0.72110660,1.13585291
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-17 00:00:00.000000,0.00640837,0.02292041,0.04690173,1,6,13,0,2,5,0.00234658,0.00783124,0.01766851,0.43106214,0.71717840,1.13777707
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-18 00:00:00.000000,0.00530727,0.01671355,0.04238959,1,4,12,0,1,4,0.00224451,0.00669535,0.01610008,0.43080723,0.72047046,1.14063176
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-19 00:00:00.000000,0.00474500,0.01423111,0.03432978,1,4,10,0,1,4,0.00181452,0.00533997,0.01424473,0.42780600,0.72429905,1.16762865
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-20 00:00:00.000000,0.00369668,0.01125295,0.02752893,1,3,8,0,1,3,0.00129964,0.00456978,0.01292209,0.42042956,0.71638199,1.15070528
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-21 00:00:00.000000,0.00239737,0.00981359,0.02456395,0,2,7,0,1,3,0.00077375,0.00383665,0.01153055,0.41682993,0.69121133,1.09108084
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-22 00:00:00.000000,0.00146307,0.00825593,0.02201365,0,2,6,0,0,2,0.00050294,0.00330965,0.01018444,0.40772330,0.67966097,1.09805236
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-23 00:00:00.000000,0.00091238,0.00683056,0.01989130,0,1,5,0,0,2,0.00033555,0.00261458,0.00816353,0.40530419,0.68568650,1.17005518
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-24 00:00:00.000000,0.00065684,0.00542016,0.01740530,0,1,5,0,0,2,0.00022989,0.00215851,0.00713910,0.39897753,0.68900233,1.21170111
56029,0,USWyomingPark,Wyoming,Park,2020-08-31 13:50:16.067936,2020-03-25 00:00:00.000000,0.00043320,0.00421962,0.01614295,0,1,4,0,0,1,0.00013727,0.00184372,0.00646116,0.38937514,0.69333556,1.23183090
