FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-09 00:00:00.000000,0.00497692,0.01612551,0.03625718,1,4,11,0,1,3,0.00047352,0.00371738,0.01125694,0.47479602,0.71002753,1.03248795
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-10 00:00:00.000000,0.00737986,0.02140079,0.04595222,2,6,14,0,1,4,0.00078332,0.00442661,0.01494741,0.47479663,0.71002747,1.03248801
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-11 00:00:00.000000,0.01043473,0.02759082,0.06516559,3,8,19,0,1,5,0.00076741,0.00508033,0.01677802,0.47479909,0.71002724,1.03248819
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-12 00:00:00.000000,0.01343299,0.03409074,0.08398903,4,10,25,0,1,5,0.00105619,0.00555129,0.01920275,0.47480903,0.71002628,1.03248867
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-13 00:00:00.000000,0.01637886,0.04085033,0.09929920,4,12,30,0,1,6,0.00136779,0.00613124,0.02191282,0.47484961,0.71002235,1.03249001
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-14 00:00:00.000000,0.01928453,0.04577028,0.11473269,5,13,34,0,2,7,0.00171747,0.00682878,0.02439210,0.47501552,0.70910164,1.03249361
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-15 00:00:00.000000,0.02216364,0.05205141,0.13033770,6,15,39,0,2,7,0.00205467,0.00726437,0.02614850,0.47568985,0.70637275,1.03250329
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-16 00:00:00.000000,0.02778770,0.05927944,0.14690499,8,18,44,0,2,8,0.00238890,0.00814235,0.02730362,0.47834737,0.70168253,1.03252907
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-17 00:00:00.000000,0.03013276,0.06363651,0.15269928,9,19,46,0,2,8,0.00268402,0.00918260,0.02870039,0.48763729,0.69498662,1.03259685
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-18 00:00:00.000000,0.03253451,0.06777063,0.16019545,9,20,48,0,3,9,0.00292587,0.00992677,0.03068186,0.46704699,0.69160131,1.03277087
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-19 00:00:00.000000,0.03637527,0.07199232,0.18507526,11,21,56,0,3,10,0.00308900,0.01067660,0.03486203,0.45532185,0.68299920,1.03319585
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-20 00:00:00.000000,0.04136925,0.07784829,0.21044719,12,23,64,0,3,11,0.00325677,0.01160877,0.03672793,0.44711678,0.67969770,1.04679078
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-21 00:00:00.000000,0.04410057,0.08266770,0.23658686,13,25,72,1,3,11,0.00373893,0.01228308,0.03832871,0.42302878,0.66171110,1.08354778
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-22 00:00:00.000000,0.04580107,0.08714248,0.26330484,13,26,80,1,3,12,0.00403923,0.01298469,0.04033743,0.39609901,0.66179915,1.12172525
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-23 00:00:00.000000,0.05047253,0.09070708,0.28640487,15,27,87,1,4,12,0.00435400,0.01372880,0.04200785,0.37277804,0.66570562,1.19225991
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-24 00:00:00.000000,0.05125725,0.09625321,0.30069965,15,29,91,1,4,12,0.00471586,0.01452725,0.04219827,0.36882329,0.66653422,1.27852707
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-25 00:00:00.000000,0.04816142,0.10011399,0.31584261,14,30,96,1,4,12,0.00509608,0.01536682,0.04201973,0.36417153,0.65767087,1.29692390
56033,0,USWyomingSheridan,Wyoming,Sheridan,2020-10-07 16:26:32.300068,2020-03-26 00:00:00.000000,0.04618872,0.10390791,0.33458942,14,31,101,1,4,13,0.00549463,0.01620441,0.04357441,0.35200623,0.64365988,1.29701629
